0.020 0.020 0.020 0.020 0.030 0.040 0.040 0.050 0.060 0.070 0.010 lautalattia
0.020 0.020 0.020 0.020 0.030 0.040 0.040 0.050 0.060 0.070 0.010 STAGE_FLOOR 
0.160 0.160 0.160 0.160 0.160 0.100 0.100 0.100 0.100 0.100 0.421 DOME_VENTED 
0.230 0.230 0.230 0.540 0.640 0.560 0.520 0.500 0.480 0.460 0.100 ALCOVEBACK 
0.200 0.200 0.200 0.150 0.100 0.050 0.050 0.050 0.050 0.050 0.010 ALCOVESIDE 
0.150 0.150 0.150 0.060 0.040 0.030 0.020 0.020 0.020 0.020 0.421 SKYLIGHT 
0.230 0.230 0.230 0.540 0.640 0.560 0.520 0.500 0.480 0.460 0.100 INTERWINDOW 
0.010 0.010 0.010 0.020 0.020 0.030 0.040 0.050 0.060 0.070 0.487 TOPHAT 
0.200 0.200 0.200 0.150 0.100 0.050 0.050 0.050 0.050 0.050 0.010 DOME 
0.300 0.300 0.300 0.300 0.300 0.200 0.200 0.200 0.200 0.200 0.597 STAGE_FRONT 
0.010 0.010 0.010 0.020 0.020 0.030 0.040 0.050 0.060 0.070 0.487 MOULDING 
0.200 0.200 0.200 0.150 0.100 0.050 0.050 0.050 0.050 0.050 0.010 CEILING 
0.350 0.350 0.350 0.250 0.180 0.120 0.070 0.040 0.010 0.010 0.281 WINDOW 
0.020 0.020 0.020 0.020 0.020 0.030 0.040 0.050 0.060 0.070 0.010 OUTER_WALL 
0.020 0.020 0.020 0.020 0.020 0.030 0.030 0.030 0.030 0.030 0.597 SEATING 
0.020 0.020 0.020 0.020 0.020 0.030 0.040 0.050 0.060 0.070 0.010 PILLAR 
0.010 0.010 0.010 0.020 0.020 0.030 0.040 0.050 0.060 0.070 0.487 MOLDING 
0.020 0.020 0.020 0.020 0.030 0.040 0.040 0.050 0.060 0.070 0.010 AISLE 
