 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 absorber
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 mirror
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 a0
 0.800 0.800 0.800 0.800 0.800 0.800 0.800 0.800 0.800 0.800 0.000 a80
 0.900 0.900 0.900 0.900 0.900 0.900 0.900 0.900 0.900 0.900 0.000 a90
 0.020 0.020 0.020 0.030 0.030 0.030 0.040 0.070 0.030 0.020 0.200 betonikarkea
 0.010 0.010 0.010 0.010 0.010 0.020 0.020 0.020 0.020 0.020 0.000 betonisilea
 0.020 0.020 0.020 0.020 0.020 0.020 0.020 0.020 0.020 0.020 0.000 rappaus
 0.150 0.150 0.150 0.110 0.100 0.070 0.060 0.070 0.060 0.050 0.000 lautalattia
 0.200 0.200 0.200 0.150 0.100 0.100 0.050 0.100 0.100 0.100 0.000 parketti
 0.020 0.020 0.020 0.020 0.030 0.040 0.040 0.050 0.060 0.070 0.000 linoleumi
 0.020 0.020 0.020 0.020 0.040 0.050 0.050 0.100 0.150 0.150 0.000 korkki
 0.080 0.080 0.080 0.040 0.030 0.030 0.020 0.020 0.020 0.020 0.000 lasi1k
 0.100 0.100 0.100 0.070 0.050 0.030 0.020 0.020 0.020 0.020 0.000 lasi2k
 0.300 0.300 0.300 0.150 0.100 0.050 0.030 0.020 0.020 0.020 0.000 lasi610
 0.150 0.150 0.150 0.050 0.030 0.030 0.020 0.020 0.030 0.030 0.000 ikkuna
 0.140 0.140 0.140 0.100 0.060 0.080 0.100 0.100 0.100 0.110 0.000 ovi
 0.110 0.110 0.110 0.130 0.050 0.030 0.020 0.030 0.030 0.040 0.000 kipsi9
 0.090 0.080 0.080 0.110 0.050 0.030 0.020 0.030 0.030 0.040 0.000 kipsi13
 0.150 0.150 0.150 0.100 0.060 0.040 0.040 0.050 0.050 0.050 0.000 kipsi2x13
 0.550 0.550 0.550 0.700 0.650 0.650 0.600 0.600 0.600 0.600 0.000 kipsi710
 0.250 0.250 0.250 0.150 0.100 0.090 0.080 0.070 0.070 0.080 0.000 laudoitus22
 0.120 0.120 0.120 0.040 0.060 0.050 0.050 0.050 0.050 0.050 0.000 lastulevy22
 0.160 0.160 0.160 0.240 0.560 0.690 0.810 0.780 0.850 0.900 0.000 yleiso
 0.440 0.440 0.440 0.600 0.770 0.890 0.820 0.700 0.850 0.850 0.000 sohva
 0.080 0.080 0.080 0.200 0.550 0.650 0.500 0.400 0.550 0.550 0.000 levyseina4
 0.700 0.700 0.700 0.800 0.750 0.600 0.500 0.400 0.550 0.550 0.000 levyseina13%
 0.150 0.150 0.150 0.700 0.600 0.600 0.850 0.900 0.950 0.990 0.000 villa50kas
 0.150 0.150 0.150 0.700 0.600 0.600 0.750 0.750 0.850 0.900 0.000 villa50
 0.300 0.300 0.300 0.450 0.650 0.560 0.590 0.710 0.750 0.750 0.000 puuvillaverhot
 0.100 0.100 0.100 0.370 0.780 0.970 0.970 0.970 0.950 0.950 0.000 a2006
 0.030 0.030 0.030 0.030 0.040 0.050 0.070 0.090 0.150 0.150 0.050 brick
 0.150 0.150 0.110 0.100 0.070 0.060 0.070 0.230 0.051 0.050 0.100 woodfloor
 0.360 0.360 0.440 0.310 0.290 0.390 0.250 0.230 0.051 0.050 0.100 concrete
 0.350 0.350 0.250 0.180 0.120 0.070 0.040 0.230 0.051 0.050 0.010 windowglass
 0.280 0.280 0.220 0.170 0.090 0.100 0.110 0.230 0.051 0.050 0.010 plywoodpanel
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.050 0.050 0.500 halfdiffuser
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.050 0.050 1.000 diffuser
 0.020 0.020 0.060 0.140 0.370 0.600 0.650 0.700 0.850 0.850 0.500 carpet
 0.013 0.013 0.015 0.020 0.030 0.040 0.050 0.070 0.050 0.050 0.010 Plaster
 0.260 0.260 0.570 0.630 0.960 0.440 0.560 0.700 0.850 0.850 0.100 Acoustile
 0.008 0.008 0.008 0.013 0.015 0.020 0.025 0.030 0.055 0.050 0.050 water
 0.010 0.010 0.010 0.010 0.010 0.020 0.020 0.030 0.050 0.050 0.010 marble
 0.200 0.200 0.200 0.200 0.200 0.200 0.200 0.200 0.250 0.250 0.300 katto
 0.300 0.300 0.300 0.200 0.200 0.200 0.100 0.100 0.150 0.150 0.500 seina
 0.300 0.300 0.300 0.300 0.250 0.250 0.250 0.200 0.250 0.250 0.500 lattia
 0.800 0.800 0.800 0.800 0.800 0.800 0.800 0.800 0.850 0.850 0.900 penkki
